title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
720 Greenwich Street #5P,10014,500,0.0,1.0,1,545000
41 Perry Street #3C,10014,500,1.0,1.0,1,545000
130 Barrow Street #211,10014,840,1.0,1.0,1,1090000
343 West 12th Street #4B,10014,475,1.0,1.0,1,519000
25 Leroy Street #16,10014,425,1.0,1.0,1,465000
323 West 11th Street #4W,10014,725,1.0,1.0,1,795000
88 Horatio Street #1B,10014,300,0.0,1.0,1,329000
99 Bank Street #5J,10014,775,1.0,1.0,1,850000
41 Perry Street #5AB,10014,820,1.0,2.0,1,900000
32 Downing Street #5A,10014,500,1.0,1.0,1,549000
295 West 11th Street #6L,10014,500,1.0,1.0,1,549000
22 Leroy Street #13,10014,500,1.0,1.0,1,549000
2 Cornelia #606,10014,773,1.0,1.0,1,849000
67 Morton Street #6A,10014,500,1.0,1.0,1,549500
5 Charles Street #5R,10014,450,0.0,1.0,1,495000
99 Bank Street #5C,10014,500,0.0,1.0,1,550000
350 West 14th Street #3E,10014,520,0.0,1.0,1,595000
166 Bank Street #3B,10014,2400,3.0,2.0,1,2650000
350 West 14th Street #6A,10014,572,1.0,1.0,1,635000
22 Cornelia #19,10014,325,,1.0,1,359000
22 Cornelia Street #19,10014,325,0.0,1.0,1,359000
136 Waverly Place ,10014,900,1.0,1.0,1,995000
295 West 11th Street #6H,10014,700,1.0,1.0,1,775000
421 Hudson Street #524,10014,721,1.0,1.0,1,799000
838 Greenwich Street #1A,10014,1308,2.0,2.0,1,1450000
227 West 11th Street #41,10014,450,1.0,1.0,1,499000
99 Bank Street #5K,10014,450,0.5,1.0,1,499000
719 Greenwich Street, #3N ,10014,675,1.0,1.0,1,749000
136 Waverly Place #3B,10014,1250,2.0,1.0,1,1395000
72 Horatio Street #3S,10014,1250,1.0,2.0,1,1395000
822 Greenwich Street #1A,10014,850,1.0,1.0,1,949000
85 Bedford #2-3,10014,1500,3.0,2.0,1,1675000
41 Perry Street ,10014,375,1.0,1.0,1,419000
15 Jones Street #6D,10014,850,2.0,2.0,1,950000
15 Jones Street #6D,10014,850,2.0,2.0,1,950000
130 Jane Street #56F,10014,1250,2.0,2.0,1,1400000
32 Downing Street #5B,10014,400,0.0,1.0,1,449000
44 Morton Street #1W,10014,779,1.0,1.0,1,875000
377 West 11th Street #3A,10014,3200,3.0,2.0,1,3595000
372 West 11th Street ,10014,2445,4.0,4.0,1,3595000
204 West Houston Street #4B,10014,800,1.0,1.0,1,899000
130 Barrow Street #318,10014,756,1.0,1.0,1,850000
720 Greenwich Street #4V,10014,800,1.0,1.0,1,900000
247 West 12th Street #1D,10014,2200,3.0,2.0,1,2475000
51 Morton Street #1A,10014,550,1.0,1.0,1,619000
96 Perry Street #B10,10014,650,1.0,1.0,1,735000
2 Cornelia Street #604/605,10014,2552,4.0,2.0,1,2895000
720 Greenwich Street #7UV,10014,1850,3.0,2.0,1,2100000
350 West 14th Street #2D,10011,693,1.0,1.0,1,795000
166 Bank Street #2D,10014,2200,3.0,2.0,1,2499000
218 West 14th Street #3RDFLR,10011,523,1.0,1.0,1,595000
